날짜,평균기온,최고기온,최저기온,강수량(mm),신적설(cm),평균풍속(m/s),평균습도(%),운량(1/10),일조시간(Hr),날씨
2025년09월30일 (화),19.8,24.0,17.3,-,0.0,1.3,81,6.1,1.2,구름많음/안개
2025년10월01일 (수),20.5,25.6,16.7,-,0.0,1.8,78,4.8,4.7,구름조금/안개
2025년10월02일 (목),21.4,25.8,17.3,-,0.0,1.5,75,9.0,5.7,흐림/안개
2025년10월03일 (금),21.2,22.3,19.8,0.8,0.0,2.3,76,9.6,0.0,흐림/비
2025년10월04일 (토),22.5,25.0,20.9,0.0,0.0,1.8,75,9.4,0.6,흐림/비
2025년10월05일 (일),21.4,22.3,20.6,18.1,0.0,1.6,90,9.6,0.0,흐림/비
2025년10월06일 (월),17.6,20.7,15.4,36.8,0.0,3.7,94,10.0,0.0,흐림/비
2025년10월07일 (화),18.2,20.0,15.5,7.1,0.0,3.0,95,9.8,0.0,흐림/비
2025년10월08일 (수),21.9,28.0,17.2,0.0,0.0,1.5,73,3.6,10.7,구름조금/이슬비
2025년10월09일 (목),20.0,22.6,16.9,0.0,0.0,3.4,70,9.9,0.0,흐림/비
2025년10월10일 (금),17.0,17.7,16.0,49.3,0.0,2.9,98,10.0,0.0,흐림/비
2025년10월11일 (토),20.2,23.8,17.3,22.5,0.0,2.5,93,9.9,0.1,흐림/비
2025년10월12일 (일),19.0,21.4,17.6,0.1,0.0,2.3,85,9.5,0.2,흐림/비/안개
2025년10월13일 (월),15.7,18.3,13.9,25.1,0.0,3.4,94,10.0,0.0,흐림/비/이슬비
2025년10월14일 (화),17.9,20.9,14.4,0.6,0.0,3.1,80,8.9,0.6,흐림/비
2025년10월15일 (수),20.2,25.3,16.1,1.5,0.0,2.4,75,5.5,6.3,구름많음/비
2025년10월16일 (목),20.2,24.8,17.0,1.3,0.0,2.4,75,3.4,6.8,구름조금/비
2025년10월17일 (금),19.9,24.8,15.6,11.3,0.0,2.2,75,6.0,6.4,구름많음/비
2025년10월18일 (토),15.8,18.6,14.2,11.2,0.0,2.2,88,9.8,0.0,흐림/비
2025년10월19일 (일),14.5,19.2,8.9,-,0.0,2.9,72,4.6,5.1,구름조금
2025년10월20일 (월),10.0,16.5,5.3,-,0.0,2.5,66,4.8,4.9,구름조금
2025년10월21일 (화),9.2,14.1,4.8,-,0.0,1.6,68,5.2,5.8,구름조금
2025년10월22일 (수),13.1,18.6,6.6,-,0.0,1.6,72,3.0,6.2,구름조금
2025년10월23일 (목),14.9,19.6,11.8,-,0.0,2.0,70,3.8,4.3,구름조금
2025년10월24일 (금),15.8,21.5,11.3,-,0.0,2.1,67,5.4,7.3,구름조금
2025년10월25일 (토),14.4,17.7,12.6,-,0.0,2.2,67,6.9,3.9,구름많음
2025년10월26일 (일),12.2,13.9,10.6,0.5,0.0,1.7,70,7.4,0.0,구름많음/비/안개
2025년10월27일 (월),8.1,12.2,3.7,-,0.0,2.8,45,0.0,9.2,맑음
2025년10월28일 (화),8.5,14.4,3.0,-,0.0,1.5,52,0.5,9.0,맑음
2025년10월29일 (수),11.4,18.3,6.2,-,0.0,1.7,65,1.1,7.6,맑음
2025년10월30일 (목),12.8,18.2,7.7,-,0.0,1.5,70,5.5,6.7,구름많음/안개
2025년10월31일 (금),15.1,20.7,11.3,0.1,0.0,1.9,70,8.1,2.5,구름많음/비/안개
2025년11월01일 (토),12.9,17.7,10.5,2.4,0.0,2.3,73,3.8,8.1,구름조금/비/안개/천둥번개
2025년11월02일 (일),8.0,11.7,3.7,0.2,0.0,3.1,57,1.9,8.1,맑음/비
2025년11월03일 (월),7.2,14.7,0.5,-,0.0,1.4,54,0.4,9.6,맑음
2025년11월04일 (화),10.1,16.3,5.5,-,0.0,1.4,61,0.9,9.0,맑음
2025년11월05일 (수),11.6,19.0,5.7,-,0.0,1.4,60,1.1,9.6,맑음
2025년11월06일 (목),12.5,18.8,7.3,-,0.0,1.6,70,3.8,8.1,구름조금/안개
2025년11월07일 (금),13.9,19.9,8.3,-,0.0,1.9,66,1.8,8.9,맑음/안개
2025년11월08일 (토),14.5,17.0,12.3,0.0,0.0,2.2,69,8.8,0.0,흐림/비
2025년11월09일 (일),13.5,17.6,10.4,-,0.0,2.5,64,1.8,7.6,맑음/안개
2025년11월10일 (월),8.2,12.7,5.4,-,0.0,2.5,38,0.4,9.7,맑음
2025년11월11일 (화),8.9,15.1,3.9,-,0.0,1.6,58,2.8,8.3,구름조금
2025년11월12일 (수),10.8,17.7,6.0,-,0.0,1.7,66,1.1,9.4,맑음
2025년11월13일 (목),11.1,17.6,6.7,-,0.0,1.9,65,3.6,5.8,구름조금/안개
2025년11월14일 (금),9.1,15.1,4.5,-,0.0,1.9,54,0.0,9.5,맑음
2025년11월15일 (토),9.8,17.5,3.6,-,0.0,1.4,49,1.2,8.9,맑음
2025년11월16일 (일),11.6,18.7,5.5,0.3,0.0,2.5,58,3.6,7.9,구름조금/비
2025년11월17일 (월),3.2,9.7,-0.7,-,0.0,3.7,37,4.8,6.7,구름조금
2025년11월18일 (화),1.6,6.5,-2.0,-,0.0,2.4,47,0.8,9.1,맑음
2025년11월19일 (수),3.0,8.6,-1.6,-,0.0,1.6,50,0.0,9.3,맑음
2025년11월20일 (목),7.4,14.6,1.6,-,0.0,2.6,59,4.5,5.9,구름조금
2025년11월21일 (금),7.4,12.5,1.0,-,0.0,1.9,59,3.1,7.5,구름조금
2025년11월22일 (토),9.6,15.1,5.4,-,0.0,1.7,65,3.0,6.3,구름조금
2025년11월23일 (일),10.9,14.4,6.6,-,0.0,2.1,70,8.0,0.6,구름많음/안개
2025년11월24일 (월),12.4,16.8,9.6,-,0.0,1.8,73,5.0,3.2,구름조금/안개
2025년11월25일 (화),7.4,9.6,5.3,7.8,0.0,2.4,81,8.8,0.2,흐림/비/안개/천둥번개
2025년11월26일 (수),6.4,10.9,3.5,-,0.0,1.5,66,3.5,5.4,구름조금/안개
2025년11월27일 (목),5.1,8.7,2.5,10.0,0.0,3.1,77,6.4,0.3,구름많음/비
2025년11월28일 (금),2.2,7.0,-1.3,-,0.0,1.9,56,0.2,9.2,맑음
2025년11월29일 (토),5.7,9.3,0.3,0.1,0.0,2.2,57,5.5,2.9,구름많음/비
2025년11월30일 (일),12.4,16.1,9.1,-,0.0,1.8,79,3.0,3.9,구름조금/안개
2025년12월01일 (월),5.5,12.2,2.3,-,0.0,3.1,51,0.8,9.1,맑음
2025년12월02일 (화),0.1,3.3,-5.4,-,0.0,3.5,41,2.1,8.5,맑음
2025년12월03일 (수),-6.0,-2.8,-8.1,-,0.0,3.2,41,0.6,8.4,맑음
2025년12월04일 (목),-3.2,3.5,-9.4,4.0,5.1,2.2,50,1.4,8.7,맑음/눈/비/천둥번개
2025년12월05일 (금),-2.6,2.5,-6.9,-,0.0,1.9,54,1.8,9.1,맑음
2025년12월06일 (토),2.1,4.5,-2.0,0.6,0.0,2.0,71,8.1,0.9,구름많음/눈/비
2025년12월07일 (일),8.3,13.4,3.4,-,0.0,2.2,77,2.1,6.6,맑음/안개
2025년12월08일 (월),3.4,7.3,0.8,-,0.0,2.1,45,0.0,9.1,맑음
2025년12월09일 (화),2.8,8.7,-2.4,-,0.0,1.6,59,2.5,6.0,구름조금
2025년12월10일 (수),4.9,8.6,0.7,-,0.0,1.8,73,6.6,0.9,구름많음
2025년12월11일 (목),4.0,8.4,-1.8,12.9,0.0,2.7,68,4.8,4.0,구름조금/비/안개/천둥번개
2025년12월12일 (금),2.0,7.0,-3.6,-,0.0,2.0,56,4.5,6.9,구름조금
2025년12월13일 (토),2.6,4.5,-0.8,9.5,1.0,2.5,82,8.6,0.0,흐림/눈/비/진눈개비
2025년12월14일 (일),-0.1,3.1,-1.5,0.1,0.3,2.0,77,4.2,4.6,구름조금/눈/비
2025년12월15일 (월),0.7,4.5,-3.5,-,0.0,1.9,76,4.6,3.7,구름조금
2025년12월16일 (화),3.8,5.0,2.1,2.1,0.0,2.2,89,9.6,0.0,흐림/비/안개
2025년12월17일 (수),4.2,7.6,1.2,-,0.0,2.1,73,3.1,7.5,구름조금/안개
2025년12월18일 (목),2.3,8.5,-1.9,-,0.0,1.7,61,0.0,8.9,맑음
2025년12월19일 (금),4.9,9.9,-0.7,-,0.0,2.0,67,4.2,3.6,구름조금
2025년12월20일 (토),7.3,10.7,1.0,0.3,0.0,2.3,74,7.5,0.0,구름많음/비/안개
2025년12월21일 (일),-1.1,2.5,-3.4,-,0.0,2.8,42,2.6,8.9,구름조금
2025년12월22일 (월),-0.7,5.1,-5.9,-,0.0,1.8,45,3.9,8.8,구름조금
2025년12월23일 (화),2.6,4.3,0.1,10.8,0.0,2.4,71,9.0,0.0,흐림/비/안개
2025년12월24일 (수),2.8,6.3,-1.0,-,0.0,2.4,79,4.1,5.0,구름조금/안개
2025년12월25일 (목),-3.6,0.0,-8.9,-,0.0,3.9,54,0.2,8.7,맑음/안개
2025년12월26일 (금),-8.2,-4.0,-11.8,-,0.0,2.7,39,0.4,9.0,맑음
2025년12월27일 (토),-2.6,0.5,-8.3,0.0,0.0,2.1,52,7.8,2.0,구름많음/눈
2025년12월28일 (일),3.2,6.1,0.0,0.6,0.0,2.0,76,8.2,0.7,구름많음/비/안개
2025년12월29일 (월),4.9,9.1,-0.1,0.3,0.0,2.2,74,3.1,4.9,구름조금/비/안개
2025년12월30일 (화),-0.6,3.8,-3.7,-,0.0,2.4,45,1.9,9.0,맑음
2025년12월31일 (수),-5.7,-1.2,-8.9,-,0.0,3.0,41,0.2,9.0,맑음/눈
